property_type,price,location,city,baths,purpose,bedrooms,area_m2,Cluster
Flat,38000,DHA Defence,Islamabad,3,For Rent,3,253.0,Medium Affordable Properties
House,11500000,Wapda Town,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,6500000,Lahore Medical Housing Society,Lahore,3,For Sale,3,76.0,Large Luxury Properties
House,15000000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
Upper Portion,42000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,303.0,Cheap Affordable Properties
House,8500000,Fateh Garh,Lahore,2,For Sale,2,152.0,Large Luxury Properties
House,12300000,State Life Housing Society,Lahore,4,For Sale,3,152.0,Large Luxury Properties
House,5500000,Walton Road,Lahore,2,For Sale,2,76.0,Large Luxury Properties
House,105000,Bahria Town,Islamabad,6,For Rent,5,278.0,Large Luxury Properties
Flat,12000000,Bahria Town Karachi,Karachi,3,For Sale,3,253.0,Medium Affordable Properties
Flat,20000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,76.0,Medium Affordable Properties
House,55000,G-15,Islamabad,6,For Rent,6,202.0,Large Luxury Properties
House,15000000,D Type Colony,Faisalabad,3,For Sale,4,177.0,Large Luxury Properties
Flat,20000,Scheme 33,Karachi,3,For Rent,2,169.0,Medium Affordable Properties
House,13500000,DHA 11 Rahbar,Lahore,5,For Sale,3,126.0,Large Luxury Properties
Flat,80000,Cantt,Karachi,4,For Rent,3,303.0,Medium Affordable Properties
Flat,6600000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,83.0,Medium Affordable Properties
House,8500000,Malir,Karachi,2,For Sale,2,134.0,Large Luxury Properties
Flat,50000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,96.0,Medium Affordable Properties
Flat,10000000,DHA Defence,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
Lower Portion,6500000,Federal B Area,Karachi,2,For Sale,2,121.0,Cheap Affordable Properties
Lower Portion,100000,Clifton,Karachi,4,For Rent,3,303.0,Cheap Affordable Properties
House,9500000,Sangar Town,Rawalpindi,6,For Sale,4,152.0,Large Luxury Properties
Flat,60000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,271.0,Medium Affordable Properties
House,2200000,Khayaban-e-Quaid,Lahore,2,For Sale,2,38.0,Large Luxury Properties
House,12000000,Eden,Lahore,3,For Sale,4,152.0,Large Luxury Properties
Flat,3300000,Canal Road,Faisalabad,1,For Sale,1,61.0,Medium Affordable Properties
House,35000,Peoples Colony No 2,Faisalabad,5,For Rent,5,253.0,Large Luxury Properties
House,11000000,Shah Khalid Colony,Rawalpindi,5,For Sale,5,303.0,Large Luxury Properties
House,11000000,Lahore Medical Housing Society,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,13000000,Ghauri Town,Islamabad,5,For Sale,6,202.0,Large Luxury Properties
House,11000000,Bahria Town,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,13000000,Pak Arab Housing Society,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,15000000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,177.0,Large Luxury Properties
House,6642000,Northern Bypass,Karachi,3,For Sale,3,126.0,Large Luxury Properties
House,18400000,Naya Nazimabad,Karachi,5,For Sale,5,243.0,Large Luxury Properties
Flat,12000000,Bahria Town Karachi,Karachi,3,For Sale,3,253.0,Medium Affordable Properties
House,14500000,North Karachi,Karachi,4,For Sale,4,121.0,Large Luxury Properties
House,6642000,Northern Bypass,Karachi,3,For Sale,3,126.0,Large Luxury Properties
Flat,5550000,B-17,Islamabad,2,For Sale,2,104.0,Medium Affordable Properties
Flat,1845000,B-17,Islamabad,1,For Sale,1,78.0,Medium Affordable Properties
Flat,20000000,Jamshed Town,Karachi,4,For Sale,4,248.0,Medium Affordable Properties
Flat,5300000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,14500000,Bahria Town Karachi,Karachi,3,For Sale,3,152.0,Large Luxury Properties
House,15500000,Gulberg,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,19000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,6700000,Cantt,Lahore,3,For Sale,3,63.0,Large Luxury Properties
House,21500000,Ravi Park,Lahore,5,For Sale,4,164.0,Large Luxury Properties
House,24500000,Bahria Town,Lahore,7,For Sale,5,253.0,Large Luxury Properties
Flat,4000000,Bahria Town,Lahore,1,For Sale,1,46.0,Medium Affordable Properties
Upper Portion,19000,Airport Housing Society,Rawalpindi,2,For Rent,2,126.0,Cheap Affordable Properties
House,16000000,Gulraiz Housing Scheme,Rawalpindi,4,For Sale,4,303.0,Large Luxury Properties
House,18000000,PCSIR Staff Colony,Lahore,5,For Sale,4,405.0,Large Luxury Properties
Upper Portion,70000,E-11,Islamabad,3,For Rent,3,359.0,Cheap Affordable Properties
Flat,26000,Farooq-e-Azam Road,Rawalpindi,2,For Rent,2,91.0,Medium Affordable Properties
Upper Portion,50000,G-13,Islamabad,3,For Rent,3,276.0,Cheap Affordable Properties
House,23500000,Federal B Area,Karachi,4,For Sale,3,243.0,Large Luxury Properties
House,110000,G-11,Islamabad,5,For Rent,5,253.0,Large Luxury Properties
House,24000000,Wapda City,Faisalabad,6,For Sale,5,379.0,Large Luxury Properties
House,36500000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,4500000,Mohlanwal Road,Lahore,4,For Sale,5,101.0,Large Luxury Properties
House,7500000,Al-Raheem Garden,Lahore,3,For Sale,2,89.0,Large Luxury Properties
House,9500000,Bahria Town,Lahore,4,For Sale,3,152.0,Large Luxury Properties
House,60000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,278.0,Large Luxury Properties
House,20000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,8100000,Raiwind Road,Lahore,3,For Sale,3,253.0,Medium Affordable Properties
House,17500000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,4,253.0,Large Luxury Properties
House,12500000,Izmir Town,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,47500,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,202.0,Large Luxury Properties
House,75000,G-13,Islamabad,5,For Rent,5,177.0,Large Luxury Properties
Flat,45000,DHA Defence,Karachi,2,For Rent,2,106.0,Medium Affordable Properties
Flat,20000000,Jamshed Town,Karachi,3,For Sale,3,212.0,Medium Affordable Properties
Lower Portion,45000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,202.0,Cheap Affordable Properties
Flat,7300000,F-11,Islamabad,1,For Sale,1,83.0,Medium Affordable Properties
Flat,22000000,DHA Defence,Karachi,3,For Sale,3,202.0,Medium Affordable Properties
House,21000000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
Flat,3000000,Kemari Town,Karachi,3,For Sale,3,56.0,Medium Affordable Properties
House,12500000,Scheme 45,Karachi,5,For Sale,4,278.0,Large Luxury Properties
House,10500000,Bahria Town,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,24000000,Federal B Area,Karachi,4,For Sale,4,121.0,Large Luxury Properties
House,32500000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,5500000,Punjab Govt. Servants Housing Foundation,Faisalabad,2,For Sale,1,126.0,Large Luxury Properties
House,16000000,G-13,Islamabad,4,For Sale,3,111.0,Large Luxury Properties
House,35000000,Malir,Karachi,6,For Sale,6,303.0,Large Luxury Properties
Flat,18500000,DHA Defence,Karachi,3,For Sale,3,225.0,Medium Affordable Properties
Lower Portion,20000000,Gulistan-e-Jauhar,Karachi,4,For Sale,4,303.0,Cheap Affordable Properties
House,12000000,Super Town,Lahore,4,For Sale,3,89.0,Large Luxury Properties
House,35000000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,243.0,Large Luxury Properties
House,8100000,New Karachi,Karachi,2,For Sale,2,81.0,Large Luxury Properties
House,20600000,Askari,Lahore,3,For Sale,3,253.0,Large Luxury Properties
Flat,9120000,Bahria Town,Lahore,2,For Sale,2,86.0,Medium Affordable Properties
Upper Portion,42000,G-9,Islamabad,2,For Rent,2,253.0,Cheap Affordable Properties
Flat,20000,E-11,Islamabad,1,For Rent,2,83.0,Medium Affordable Properties
House,22500000,North Karachi,Karachi,3,For Sale,4,291.0,Large Luxury Properties
Flat,12500000,DHA Defence,Karachi,2,For Sale,2,111.0,Medium Affordable Properties
House,16500000,PWD Housing Scheme,Islamabad,4,For Sale,4,235.0,Large Luxury Properties
House,39000000,G-10,Islamabad,6,For Sale,6,303.0,Large Luxury Properties
House,13000000,Tulsa Road,Rawalpindi,5,For Sale,5,126.0,Large Luxury Properties
Flat,85000,Clifton,Karachi,3,For Rent,3,225.0,Medium Affordable Properties
House,8500000,Johar Town,Lahore,4,For Sale,4,126.0,Large Luxury Properties
Flat,25000,H-13,Islamabad,2,For Rent,2,162.0,Medium Affordable Properties
Flat,6200000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
Flat,6700000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,21500000,G-9,Islamabad,3,For Sale,3,152.0,Large Luxury Properties
House,6499000,Nishtar Colony,Lahore,4,For Sale,3,76.0,Large Luxury Properties
House,20400000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,5700000,Lalazaar Garden,Lahore,3,For Sale,3,68.0,Large Luxury Properties
Flat,40000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,111.0,Medium Affordable Properties
Lower Portion,35000,B-17,Islamabad,3,For Rent,3,281.0,Cheap Affordable Properties
Lower Portion,50500,Satellite Town,Rawalpindi,3,For Rent,3,177.0,Cheap Affordable Properties
House,7200000,Sanda,Lahore,4,For Sale,3,51.0,Large Luxury Properties
Upper Portion,31000,I-10,Islamabad,2,For Rent,2,169.0,Cheap Affordable Properties
House,17000000,New Karachi,Karachi,4,For Sale,4,121.0,Large Luxury Properties
House,6500000,Airport Housing Society,Rawalpindi,3,For Sale,3,126.0,Large Luxury Properties
Flat,17000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,175.0,Medium Affordable Properties
Upper Portion,15000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,202.0,Cheap Affordable Properties
Flat,85000,Gulshan-e-Iqbal Town,Karachi,3,For Rent,3,225.0,Medium Affordable Properties
House,16000000,G-11,Islamabad,3,For Sale,4,101.0,Large Luxury Properties
Upper Portion,7500000,Nazimabad,Karachi,3,For Sale,3,114.0,Cheap Affordable Properties
House,3200000,Allahabad Road,Rawalpindi,1,For Sale,1,51.0,Large Luxury Properties
House,15000000,Bahria Town Karachi,Karachi,4,For Sale,4,354.0,Large Luxury Properties
House,16000000,Faisal Town,Lahore,3,For Sale,3,177.0,Large Luxury Properties
Flat,2500000,Gadap Town,Karachi,2,For Sale,2,83.0,Medium Affordable Properties
House,14500000,Gulshan Abad,Rawalpindi,5,For Sale,5,303.0,Large Luxury Properties
House,8700000,PCSIR Housing Scheme,Lahore,4,For Sale,3,76.0,Large Luxury Properties
Flat,12000000,Askari 4,Rawalpindi,3,For Sale,3,271.0,Medium Affordable Properties
House,22000000,North Karachi,Karachi,2,For Sale,4,121.0,Large Luxury Properties
House,3600000,Al Rehman Garden,Lahore,2,For Sale,1,76.0,Large Luxury Properties
House,28000000,Bahria Town,Islamabad,5,For Sale,4,253.0,Large Luxury Properties
Flat,14900000,G-11,Islamabad,2,For Sale,2,162.0,Medium Affordable Properties
Flat,140000,Bath Island,Karachi,4,For Rent,4,303.0,Medium Affordable Properties
House,4200000,Adiala Road,Rawalpindi,2,For Sale,3,76.0,Large Luxury Properties
Flat,11500000,DHA Defence,Karachi,2,For Sale,2,111.0,Medium Affordable Properties
House,8500000,Al Rehman Garden,Lahore,4,For Sale,4,126.0,Large Luxury Properties
Flat,7700000,DHA Defence,Karachi,3,For Sale,3,149.0,Medium Affordable Properties
Lower Portion,40000,E-11,Islamabad,2,For Rent,2,152.0,Cheap Affordable Properties
Flat,11500000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,134.0,Medium Affordable Properties
House,34000000,G-10,Islamabad,4,For Sale,4,235.0,Large Luxury Properties
Flat,25000,E-11,Islamabad,2,For Rent,2,106.0,Medium Affordable Properties
House,11500000,State Life Housing Society,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,12700000,State Life Housing Society,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,12000000,Bahria Town Karachi,Karachi,3,For Sale,3,126.0,Large Luxury Properties
Lower Portion,25000,Gulraiz Housing Scheme,Rawalpindi,2,For Rent,2,253.0,Cheap Affordable Properties
House,24500000,Gulistan-e-Jauhar,Karachi,5,For Sale,4,405.0,Large Luxury Properties
Lower Portion,27000,North Karachi,Karachi,2,For Rent,2,121.0,Cheap Affordable Properties
Flat,6200000,E-11,Islamabad,2,For Sale,2,96.0,Medium Affordable Properties
Flat,6500000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,31000000,G-13,Islamabad,6,For Sale,5,212.0,Large Luxury Properties
Flat,75000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,134.0,Medium Affordable Properties
House,25000,Ghauri Town,Islamabad,3,For Rent,3,177.0,Large Luxury Properties
Flat,38000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,180.0,Medium Affordable Properties
Flat,8000000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,147.0,Medium Affordable Properties
Flat,10500000,DHA Defence,Karachi,2,For Sale,2,124.0,Medium Affordable Properties
Flat,24000,Nazimabad,Karachi,2,For Rent,4,101.0,Medium Affordable Properties
House,5000000,Samanabad,Faisalabad,1,For Sale,3,114.0,Large Luxury Properties
House,12500000,Ghauri Town,Islamabad,6,For Sale,4,126.0,Large Luxury Properties
House,17000000,Gulshan-e-Iqbal Town,Karachi,7,For Sale,6,162.0,Large Luxury Properties
Upper Portion,36000,G-11,Islamabad,3,For Rent,3,142.0,Cheap Affordable Properties
Flat,13000000,Jamshed Town,Karachi,3,For Sale,3,142.0,Medium Affordable Properties
House,13000000,Bahria Town,Lahore,5,For Sale,3,126.0,Large Luxury Properties
House,5000000,Gadap Town,Karachi,2,For Sale,2,66.0,Large Luxury Properties
House,14000000,Bahria Town Karachi,Karachi,3,For Sale,3,126.0,Large Luxury Properties
House,25000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,329.0,Large Luxury Properties
House,37500000,Gulberg,Lahore,4,For Sale,4,354.0,Large Luxury Properties
Upper Portion,19000,National Police Foundation O-9,Islamabad,3,For Rent,2,253.0,Cheap Affordable Properties
House,7500000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,13000000,Pakistan Town,Islamabad,6,For Sale,5,253.0,Large Luxury Properties
Upper Portion,15500,Airport Housing Society,Rawalpindi,2,For Rent,2,126.0,Cheap Affordable Properties
House,5000000,Sitara Colony,Faisalabad,2,For Sale,3,104.0,Large Luxury Properties
Flat,5100000,Gulshan-e-Iqbal Town,Karachi,2,For Sale,3,76.0,Medium Affordable Properties
House,17000000,Bahria Town Karachi,Karachi,3,For Sale,3,154.0,Large Luxury Properties
House,5000000,Al Hafeez Gardens,Lahore,3,For Sale,3,76.0,Large Luxury Properties
Upper Portion,3400000,Malir,Karachi,2,For Sale,2,81.0,Cheap Affordable Properties
Flat,6050000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
Upper Portion,55000,E-11,Islamabad,3,For Rent,3,202.0,Cheap Affordable Properties
House,12000000,Rehman Gardens,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,4000000,Johar Town,Lahore,2,For Sale,1,51.0,Large Luxury Properties
Flat,14000000,Jinnah Avenue,Karachi,3,For Sale,3,212.0,Medium Affordable Properties
Flat,7000000,North Nazimabad,Karachi,3,For Sale,3,124.0,Medium Affordable Properties
House,30000,Eden Gardens,Faisalabad,4,For Rent,3,126.0,Large Luxury Properties
Flat,65000,DHA Defence,Karachi,3,For Rent,3,197.0,Medium Affordable Properties
Flat,4500000,North Nazimabad,Karachi,2,For Sale,2,101.0,Medium Affordable Properties
Upper Portion,28000,Gulraiz Housing Scheme,Rawalpindi,3,For Rent,3,202.0,Cheap Affordable Properties
House,20200000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,9000000,North Karachi,Karachi,4,For Sale,6,81.0,Large Luxury Properties
Flat,9600000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,101.0,Medium Affordable Properties
Flat,29500000,Cantt,Karachi,3,For Sale,3,288.0,Medium Affordable Properties
Upper Portion,55000,Gulshan-e-Iqbal Town,Karachi,3,For Rent,3,303.0,Cheap Affordable Properties
Upper Portion,36000,Peshawar Road,Rawalpindi,4,For Rent,4,253.0,Cheap Affordable Properties
House,32500000,BOR - Board of Revenue Housing Society,Lahore,6,For Sale,5,303.0,Large Luxury Properties
Flat,7000000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
Upper Portion,4600000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,111.0,Cheap Affordable Properties
House,18500000,DHA Defence,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,15500000,BOR - Board of Revenue Housing Society,Lahore,4,For Sale,4,177.0,Large Luxury Properties
House,18800000,State Life Housing Society,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,150000,G-10,Islamabad,5,For Rent,5,126.0,Large Luxury Properties
Flat,35000,E-11,Islamabad,2,For Rent,2,83.0,Medium Affordable Properties
House,8200000,Bahria Town Rawalpindi,Rawalpindi,3,For Sale,3,126.0,Large Luxury Properties
House,13000000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,76.0,Large Luxury Properties
Flat,15500000,Askari 14,Rawalpindi,4,For Sale,3,253.0,Medium Affordable Properties
House,8500000,Gulshan e Madina,Faisalabad,4,For Sale,3,126.0,Large Luxury Properties
Flat,16500,Farooq-e-Azam Road,Rawalpindi,2,For Rent,2,91.0,Medium Affordable Properties
Lower Portion,40000,I-10,Islamabad,2,For Rent,2,177.0,Cheap Affordable Properties
House,31000000,Bahria Town,Islamabad,7,For Sale,5,253.0,Large Luxury Properties
House,30500000,Faisal Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
House,3500000,Daroghewala,Lahore,2,For Sale,2,63.0,Large Luxury Properties
Flat,8500000,Bahria Town Rawalpindi,Rawalpindi,3,For Sale,3,180.0,Medium Affordable Properties
House,8500000,Central Park Housing Scheme,Lahore,3,For Sale,3,126.0,Large Luxury Properties
Flat,4500000,Bahria Town,Lahore,1,For Sale,1,58.0,Medium Affordable Properties
Flat,6800000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,91.0,Medium Affordable Properties
House,40000,B-17,Islamabad,3,For Rent,3,142.0,Large Luxury Properties
Lower Portion,32000,Bani Gala,Islamabad,2,For Rent,2,253.0,Cheap Affordable Properties
House,20500000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,13500000,Peco Road,Lahore,5,For Sale,5,278.0,Large Luxury Properties
Flat,100000,Clifton,Karachi,4,For Rent,3,169.0,Medium Affordable Properties
House,35000000,Allama Iqbal Town,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,5000000,Malir,Karachi,3,For Sale,6,81.0,Large Luxury Properties
Upper Portion,33500,Satellite Town,Rawalpindi,2,For Rent,2,126.0,Cheap Affordable Properties
House,14500000,FECHS,Islamabad,6,For Sale,4,126.0,Large Luxury Properties
Flat,3700000,D-17,Islamabad,3,For Sale,3,96.0,Medium Affordable Properties
House,15500000,Sabzazar Scheme,Lahore,5,For Sale,5,132.0,Large Luxury Properties
House,35000000,Askari,Lahore,5,For Sale,4,253.0,Large Luxury Properties
Flat,55000,Cantt,Karachi,3,For Rent,3,309.0,Medium Affordable Properties
Flat,4200000,Federal B Area,Karachi,2,For Sale,2,61.0,Medium Affordable Properties
House,9200000,College Road,Lahore,4,For Sale,4,126.0,Large Luxury Properties
Flat,57000,Islamabad Expressway,Islamabad,4,For Rent,4,235.0,Medium Affordable Properties
Flat,16000000,Frere Town,Karachi,3,For Sale,3,157.0,Medium Affordable Properties
House,19800000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,7500000,North Nazimabad,Karachi,2,For Sale,2,111.0,Medium Affordable Properties
House,36000000,DHA Defence,Karachi,4,For Sale,4,101.0,Large Luxury Properties
Flat,100000,F-11,Islamabad,4,For Rent,3,405.0,Medium Affordable Properties
House,7000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,14800000,Central Park Housing Scheme,Lahore,7,For Sale,5,253.0,Large Luxury Properties
House,28000,Bahria Town Karachi,Karachi,4,For Rent,3,202.0,Large Luxury Properties
Flat,3000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,109.0,Medium Affordable Properties
Flat,18500000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,248.0,Medium Affordable Properties
House,16000000,Johar Town,Lahore,6,For Sale,5,126.0,Large Luxury Properties
Lower Portion,48000,G-13,Islamabad,3,For Rent,3,303.0,Cheap Affordable Properties
House,6000000,Al Noor Garden,Faisalabad,4,For Sale,4,63.0,Large Luxury Properties
House,4000000,Chibban,Faisalabad,2,For Sale,4,76.0,Large Luxury Properties
House,13500000,Bahria Town,Islamabad,4,For Sale,3,126.0,Large Luxury Properties
House,42000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,202.0,Large Luxury Properties
House,21000000,DHA Defence,Lahore,5,For Sale,3,177.0,Large Luxury Properties
Lower Portion,25000000,Jamshed Town,Karachi,4,For Sale,4,303.0,Cheap Affordable Properties
House,20000000,Bahria Town,Lahore,7,For Sale,5,253.0,Large Luxury Properties
House,22500000,Scheme 33,Karachi,6,For Sale,5,243.0,Large Luxury Properties
House,20000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,25000000,Clifton,Karachi,3,For Sale,3,147.0,Medium Affordable Properties
House,9000000,Samundari Road,Faisalabad,3,For Sale,5,132.0,Large Luxury Properties
House,4300000,Shahra-e-Faisal,Karachi,2,For Sale,3,81.0,Large Luxury Properties
Flat,18500000,DHA Defence,Karachi,3,For Sale,3,192.0,Medium Affordable Properties
Flat,6000000,DHA Defence,Karachi,2,For Sale,2,101.0,Medium Affordable Properties
House,25000000,Wapda Town,Lahore,5,For Sale,5,253.0,Large Luxury Properties
Upper Portion,62000,G-11,Islamabad,3,For Rent,3,359.0,Cheap Affordable Properties
Flat,90000,Clifton,Karachi,4,For Rent,3,225.0,Medium Affordable Properties
Upper Portion,32000,G-11,Islamabad,2,For Rent,2,142.0,Cheap Affordable Properties
Flat,40000,Gulshan-e-Iqbal Town,Karachi,3,For Rent,3,175.0,Medium Affordable Properties
Flat,4250000,Bahria Town,Lahore,1,For Sale,1,56.0,Medium Affordable Properties
Upper Portion,17000,Madina Town,Faisalabad,2,For Rent,3,126.0,Cheap Affordable Properties
House,4800000,Defence Road,Rawalpindi,2,For Sale,2,101.0,Large Luxury Properties
Flat,8000000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,134.0,Medium Affordable Properties
Flat,1450000,Gadap Town,Karachi,1,For Sale,1,51.0,Medium Affordable Properties
House,3300000,Gadap Town,Karachi,2,For Sale,2,86.0,Large Luxury Properties
House,19500000,Bahria Town,Lahore,7,For Sale,5,253.0,Large Luxury Properties
Flat,17000,G-15,Islamabad,2,For Rent,2,73.0,Medium Affordable Properties
House,3900000,Khayaban-e-Amin,Lahore,1,For Sale,2,126.0,Large Luxury Properties
House,115000,E-11,Islamabad,4,For Rent,4,202.0,Large Luxury Properties
House,14000000,Soan Garden,Islamabad,6,For Sale,5,177.0,Large Luxury Properties
House,24000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,253.0,Large Luxury Properties
House,37500000,Hill Park,Karachi,4,For Sale,4,152.0,Large Luxury Properties
House,13000000,Bahria Town Karachi,Karachi,3,For Sale,3,126.0,Large Luxury Properties
House,8500000,Lalazaar Garden,Lahore,3,For Sale,3,76.0,Large Luxury Properties
House,24000000,Allama Iqbal Town,Lahore,4,For Sale,4,253.0,Large Luxury Properties
Flat,115000,DHA Defence,Karachi,4,For Rent,3,258.0,Medium Affordable Properties
House,17000000,Gulshan Rehman,Faisalabad,2,For Sale,3,152.0,Large Luxury Properties
House,20000000,I-10,Islamabad,3,For Sale,4,152.0,Large Luxury Properties
Flat,75000,DHA Defence,Karachi,3,For Rent,3,271.0,Medium Affordable Properties
House,5950000,Al-Kabir Town,Lahore,4,For Sale,3,76.0,Large Luxury Properties
House,9500000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,26000,DHA Defence,Karachi,2,For Rent,2,106.0,Medium Affordable Properties
House,11500000,Sabzazar Scheme,Lahore,4,For Sale,4,126.0,Large Luxury Properties
House,22000000,Bahria Town,Lahore,7,For Sale,5,253.0,Large Luxury Properties
House,7000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,12500000,DHA 11 Rahbar,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,9900000,Lalazaar Garden,Lahore,3,For Sale,3,101.0,Large Luxury Properties
Flat,2400000,B-17,Islamabad,1,For Sale,1,46.0,Medium Affordable Properties
Lower Portion,35000,Scheme 33,Karachi,3,For Rent,3,202.0,Cheap Affordable Properties
House,1400000,Ferozepur Road,Lahore,2,For Sale,2,76.0,Large Luxury Properties
House,13500000,Harbanspura Road,Lahore,3,For Sale,3,152.0,Large Luxury Properties
House,15000000,Scheme 33,Karachi,5,For Sale,4,121.0,Large Luxury Properties
Lower Portion,19000,Pakistan Town,Islamabad,2,For Rent,2,126.0,Cheap Affordable Properties
Flat,8000000,DHA Defence,Karachi,3,For Sale,3,124.0,Medium Affordable Properties
Flat,55000,Jamshed Town,Karachi,3,For Rent,3,152.0,Medium Affordable Properties
Flat,5000000,North Nazimabad,Karachi,3,For Sale,3,137.0,Medium Affordable Properties
House,11200000,Maskan Chowrangi,Karachi,4,For Sale,4,91.0,Large Luxury Properties
Flat,4000000,DHA Defence,Islamabad,2,For Sale,2,91.0,Medium Affordable Properties
House,26000000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,7500000,DHA Defence,Islamabad,4,For Sale,3,202.0,Large Luxury Properties
House,17500000,Johar Town,Lahore,3,For Sale,3,303.0,Large Luxury Properties
House,3600000,Gadap Town,Karachi,6,For Sale,6,86.0,Large Luxury Properties
House,2500000,Bhaini Road,Lahore,1,For Sale,2,76.0,Large Luxury Properties
Flat,30000000,Frere Town,Karachi,2,For Sale,3,202.0,Medium Affordable Properties
Flat,2000000,Johar Town,Lahore,1,For Sale,1,30.0,Medium Affordable Properties
Flat,2700000,PWD Housing Scheme,Islamabad,2,For Sale,2,83.0,Medium Affordable Properties
House,2000000,Band Road,Lahore,2,For Sale,2,25.0,Large Luxury Properties
House,6500000,Ali Town,Lahore,3,For Sale,3,76.0,Large Luxury Properties
House,15500000,Bahria Town Karachi,Karachi,3,For Sale,3,152.0,Large Luxury Properties
House,13000000,Lake City,Lahore,4,For Sale,4,253.0,Large Luxury Properties
House,11500000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,3500000,Shahdara,Lahore,2,For Sale,3,76.0,Large Luxury Properties
Flat,2450000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,83.0,Medium Affordable Properties
House,14500000,DHA Defence,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,3500000,Tajpura,Lahore,2,For Sale,2,51.0,Large Luxury Properties
